business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kathoni gaon,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,4.0,1.0,"C89V+F2V, Laharighat, Assam 782127",782126,26.4187427,92.3425352,ChIJKTioPQApWzcRlbwYPEgkEwc,https://www.google.com/maps/place/?q=place_id:ChIJKTioPQApWzcRlbwYPEgkEwc,part_359,2026-09-20 20:55:22,22040
SHAJAHAN HOTEL,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 69014 88310,N/A,,,"Laharighat, Assam 782127",782126,26.4183064,92.3405258,ChIJJ4eS1ZMpWzcRDRjg2X4_ZGQ,https://www.google.com/maps/place/?q=place_id:ChIJJ4eS1ZMpWzcRDRjg2X4_ZGQ,part_359,2026-09-20 20:55:22,22041
Morigaon -,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",N/A,N/A,3.6,5.0,"FC39+8PQ, Morigaon - Moirabari Rd, Moirabari, Mairabari Town, Assam 782126",782126,26.453336399999998,92.4193568,ChIJVRrD4NkrWzcRk8EggUpbPcc,https://www.google.com/maps/place/?q=place_id:ChIJVRrD4NkrWzcRk8EggUpbPcc,part_359,2026-09-20 20:55:22,22042
Alal Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 76359 92741,N/A,3.9,18.0,"C9RH GdhPH3, Hahchara Gaon, Hahcharabori, Assam 782126",C9RH GdhPH3,26.4418233,92.3785367,ChIJrcXv8CopWzcR7uEgmPogQq8,https://www.google.com/maps/place/?q=place_id:ChIJrcXv8CopWzcR7uEgmPogQq8,part_359,2026-09-20 20:55:22,22043
Taj Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 91016 21639,N/A,5.0,1.0,"C89R+PX2 Taj Hotel, Laharighat, Assam 782127",782126,26.419252999999998,92.3423892,ChIJR3RhnAApWzcRPr_j6lxYiec,https://www.google.com/maps/place/?q=place_id:ChIJR3RhnAApWzcRPr_j6lxYiec,part_359,2026-09-20 20:55:22,22044
Ariful Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 73066 68974,N/A,3.0,1.0,"Gorukhuti, Morigaon - Moirabari Rd, Morigaon, Assam 782104",782126,26.3811942,92.4135087,ChIJdWcQLZzVWjcR9wPp2CgEBzY,https://www.google.com/maps/place/?q=place_id:ChIJdWcQLZzVWjcR9wPp2CgEBzY,part_359,2026-09-20 20:55:22,22045
Basir Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60019 61130,N/A,2.6,5.0,"FC3F+PFF, Moirabari, Mairabari Town, Assam 782126",782126,26.4543197,92.4236823,ChIJpzpZ-wYrWzcREoolRy79YpI,https://www.google.com/maps/place/?q=place_id:ChIJpzpZ-wYrWzcREoolRy79YpI,part_359,2026-09-20 20:55:22,22046
Tarulata Bordoloi,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60018 26442,N/A,5.0,1.0,"Tarulata Bordoloi, Borsala, Assam 782104",782126,26.3723516,92.3947852,ChIJxcg-caLVWjcReHelTZ8P1H4,https://www.google.com/maps/place/?q=place_id:ChIJxcg-caLVWjcReHelTZ8P1H4,part_359,2026-09-20 20:55:22,22047
Alal Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 91016 09465,N/A,,,"Alal Hotel, Kathani, Barchapari, Assam 782126",782126,26.469738399999997,92.40821,ChIJNbjfT7IrWzcRy86Wcg3Q7e0,https://www.google.com/maps/place/?q=place_id:ChIJNbjfT7IrWzcRy86Wcg3Q7e0,part_359,2026-09-20 20:55:22,22048
Green Planet Resort Orang,Hotel,Hotel,"Hotel, Resort hotel, Restaurant",782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 97066 41135,N/A,4.5,33.0,"Vill-Nalbari, p.o-silbori , Dist-Darrang, P.S-Dalgaon, Pin-784114, Mangaldoi, Assam 784113",782126,26.5887487,92.3078797,ChIJxcwAEXUwWzcRMO_pLt3tlBo,https://www.google.com/maps/place/?q=place_id:ChIJxcwAEXUwWzcRMO_pLt3tlBo,part_359,2026-09-20 20:55:23,22049
Dildar Hussain,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 93652 56845,N/A,5.0,,"9CH7+X94 Dildar Hussain, Garukhuti, Dighaldari, Uralkata Pathar, Assam 782104",Garukhuti,26.3798939,92.4134466,ChIJ24Vb2qrVWjcRMocqtZT5yN0,https://www.google.com/maps/place/?q=place_id:ChIJ24Vb2qrVWjcRMocqtZT5yN0,part_359,2026-09-20 20:55:23,22050
Bisme Hotel Fast Food,Hotel,Hotel,"Hotel, Fast food restaurant",782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 79073 97092,N/A,4.0,,"Moirabari, Tatikata Pathar, Assam 782126",782126,26.454917599999998,92.4222688,ChIJjUkUsisrWzcRxqZuhNec9Pk,https://www.google.com/maps/place/?q=place_id:ChIJjUkUsisrWzcRxqZuhNec9Pk,part_359,2026-09-20 20:55:23,22051
Rafik Hotel,Hotel,Hotel,Hotel,782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O",+91 60001 29622,N/A,,,"Moirabari, Tatikata Pathar, Assam 782126",782126,26.4547937,92.4244226,ChIJf3OLryYrWzcR2zlF8HdjPJM,https://www.google.com/maps/place/?q=place_id:ChIJf3OLryYrWzcR2zlF8HdjPJM,part_359,2026-09-20 20:55:23,22052
Sumaya Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 69014 91414,N/A,5.0,1.0,"Sahab Uddin, Tinisukia, Dewaguri, Assam 782127",782127,26.414735099999998,92.3020008,ChIJVzo3YEQpWzcRgVygjpNiKqI,https://www.google.com/maps/place/?q=place_id:ChIJVzo3YEQpWzcRgVygjpNiKqI,part_359,2026-09-20 20:55:56,22901
Mandal Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 79811 84783,N/A,,,"Rabindra Mandal, Lengeribori, Bhuragaon, Assam 782121",782127,26.402906599999998,92.23307799999999,ChIJNwmCSrEnWzcRQqiv9ULXvrk,https://www.google.com/maps/place/?q=place_id:ChIJNwmCSrEnWzcRQqiv9ULXvrk,part_359,2026-09-20 20:55:56,22902
Bhai Bhai Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 69014 93307,N/A,4.0,4.0,"Tinisukiya, Dewaguri, Assam 782104",782127,26.388684899999998,92.33202349999999,ChIJt4b2CePXWjcRAJufQhBxpYk,https://www.google.com/maps/place/?q=place_id:ChIJt4b2CePXWjcRAJufQhBxpYk,part_359,2026-09-20 20:55:56,22903
Jannat Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 86383 14485,N/A,5.0,1.0,"Jannat Hotel, Laharighat, Kathani, Assam 782127",782127,26.4323965,92.3278689,ChIJ7wSv10cpWzcRVkE6I8C7rZM,https://www.google.com/maps/place/?q=place_id:ChIJ7wSv10cpWzcRVkE6I8C7rZM,part_359,2026-09-20 20:55:56,22904
Roful Amin Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",N/A,N/A,3.8,15.0,"C75M+7MR, Borhalowkandha, Assam 782127",782127,26.4082285,92.2841357,ChIJLyWhafMnWzcRJ7G53Pc3gKk,https://www.google.com/maps/place/?q=place_id:ChIJLyWhafMnWzcRJ7G53Pc3gKk,part_359,2026-09-20 20:55:57,22905
Abdul Mutaleb Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 70023 72395,N/A,5.0,1.0,"Dhupguri, Chetuai Khaiti, Assam 782127",782127,26.3994225,92.3176945,ChIJHTvOnCPXWjcRsuF7UZWH26A,https://www.google.com/maps/place/?q=place_id:ChIJHTvOnCPXWjcRsuF7UZWH26A,part_359,2026-09-20 20:55:57,22906
AJIJUL HOTEL,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 80112 54692,N/A,5.0,1.0,"90, 47, Dewaguri, Raja Gadhowa, Assam 782127",782127,26.421391999999997,92.3243356,ChIJPV0QcCIpWzcRevH3hLsBtJU,https://www.google.com/maps/place/?q=place_id:ChIJPV0QcCIpWzcRevH3hLsBtJU,part_359,2026-09-20 20:55:57,22907
Habiqul Islam Hotel Shop,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 93951 90893,N/A,,,"147 Rajagadowa Rajagadowa To, Laharighat, Assam 782127",782127,26.421426399999998,92.3242997,ChIJeVGTSPIpWzcR8xH2XeqQCPU,https://www.google.com/maps/place/?q=place_id:ChIJeVGTSPIpWzcR8xH2XeqQCPU,part_359,2026-09-20 20:55:57,22908
Chinaki Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",N/A,N/A,5.0,1.0,"98V9+MJP, Morigaon-Bhuragaon Rd, Bogalipara Gaon, Chetuai Khaiti, Assam 782127",782127,26.3942142,92.3190659,ChIJT2bSp-rXWjcRKVjOwOn8xJM,https://www.google.com/maps/place/?q=place_id:ChIJT2bSp-rXWjcRKVjOwOn8xJM,part_359,2026-09-20 20:55:57,22909
Hoque Hotel,Hotel,Hotel,Hotel,782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O",+91 93657 64973,N/A,3.0,1.0,"Bazar, Bagalipara, Assam 782127",782127,26.419066899999997,92.3112246,ChIJ261GMm0pWzcRtWSVe_lU9Pc,https://www.google.com/maps/place/?q=place_id:ChIJ261GMm0pWzcRtWSVe_lU9Pc,part_359,2026-09-20 20:55:57,22910
