business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
NEW ROOPMILAN COLLECTION,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 76849 56466,N/A,5.0,,"Daily Market Rd, Junhapada, Binka, Odisha 767019",Junhapada,21.0269551,83.81196589999999,ChIJx27BvEVZIToROcaONxyFrsM,https://www.google.com/maps/place/?q=place_id:ChIJx27BvEVZIToROcaONxyFrsM,part_353,2026-09-20 20:28:26,24809
Fashion House Dahya,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 99377 03747,N/A,4.3,,"Kirasira, Chaunriapadar, Odisha 762015",767062,20.8171522,84.006867,ChIJNUSVTKPcIzoRrF8yCE__Ii8,https://www.google.com/maps/place/?q=place_id:ChIJNUSVTKPcIzoRrF8yCE__Ii8,part_353,2026-09-20 20:28:26,24810
City Bazaar Metro Sonepur,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 62913 43239,https://www.citybazaarmetro.com/,3.3,,"Balangir road, Sonepur, Odisha 767017",767062,20.8410126,83.8973977,ChIJs3TqeW3nIzoRAziSNHiCh8g,https://www.google.com/maps/place/?q=place_id:ChIJs3TqeW3nIzoRAziSNHiCh8g,part_353,2026-09-20 20:28:26,24811
Mahalaxmi Collection,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 97772 13994,N/A,4.7,,"Balangir - Sonepur - Redhakhol Rd, Subalaya, Amsarbhata, Odisha 767018",767062,20.9045786,84.1732569,ChIJq-xa2azXIzoRPL3cCRPNOgo,https://www.google.com/maps/place/?q=place_id:ChIJq-xa2azXIzoRPL3cCRPNOgo,part_353,2026-09-20 20:28:26,24812
Louis Philippe - Sambalpur,Mens Wear Showroom,Men's clothing store,Men's clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 73279 21155,https://www.louisphilippe.com/,5.0,138.0,"Louis Philippe, Main Road, beside Jockey Exclusive Store, Professor Colony, Budharaja, Sambalpur, Odisha 768004","Professor Colony, Budharaja",21.4815541,83.97944129999999,ChIJDZm2DUsXIToRhGsLmnrBdhE,https://www.google.com/maps/place/?q=place_id:ChIJDZm2DUsXIToRhGsLmnrBdhE,part_353,2026-09-20 20:28:26,24813
PATRA GARMENTS,Mens Wear Showroom,Clothing store,"Clothing store, Government college, Government School, Local government office, Uniform store",767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 91788 88582,N/A,4.7,24.0,"State Highway 31, beside Main road, Dabugaon, Odisha 764072",767062,19.455819599999998,82.4051282,ChIJJcrk3XVNJToRTBNi5g12jOM,https://www.google.com/maps/place/?q=place_id:ChIJJcrk3XVNJToRTBNi5g12jOM,part_353,2026-09-20 20:28:27,24814
The Boys,Mens Wear Showroom,Men's clothing store,Men's clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 76059 82581,N/A,,,"The Boys123, Main Road, Baunsuni, Jamatangi, Odisha 762015",767062,20.8042478,84.06343849999999,ChIJ46PNvibbIzoR1g05gwawjYU,https://www.google.com/maps/place/?q=place_id:ChIJ46PNvibbIzoR1g05gwawjYU,part_353,2026-09-20 20:28:27,24815
JP togs,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",N/A,N/A,4.2,9.0,"Kadobahal road, Sorna, Jhiliminda, Odisha 768103",767062,21.3003263,83.81996509999999,ChIJLY5Hn3lHIToR6cpC5S-PhJ8,https://www.google.com/maps/place/?q=place_id:ChIJLY5Hn3lHIToR6cpC5S-PhJ8,part_353,2026-09-20 20:28:27,24816
SM sports,Mens Wear Showroom,Store,Store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 86580 84536,N/A,4.7,35.0,"Maa Maheswari Complex, Birmaharajpur, Ufula, Odisha 767018",767062,20.8669741,84.0416738,ChIJ7QxCW_rbIzoRbh_vs8YVvP8,https://www.google.com/maps/place/?q=place_id:ChIJ7QxCW_rbIzoRbh_vs8YVvP8,part_353,2026-09-20 20:28:27,24817
Dandy's Fashion,Mens Wear Showroom,Men's clothing store,Men's clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",N/A,N/A,3.7,18.0,"JJM6+HGV, Keonjhar, Odisha 758001",767062,21.633983,85.6112934,ChIJ51hIv2f9HjoRO5cYadREJzQ,https://www.google.com/maps/place/?q=place_id:ChIJ51hIv2f9HjoRO5cYadREJzQ,part_353,2026-09-20 20:28:27,24818
Adequate Lifestyle Readymade Garments Manufacturer & wholesaler,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing manufacturer, Clothing wholesaler",767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",N/A,N/A,4.9,,"plot no, 7RC2+F69, 206, Nilakantheswar Rd, near lotus school, Soubhagya Nagar, Pragati Nagar, Baramunda, Bhubaneswar, Odisha 751003","Soubhagya Nagar, Pragati Nagar, Baramunda",20.2710832,85.8006424,ChIJ49qvZOCnGToR8x3jKIZq3bo,https://www.google.com/maps/place/?q=place_id:ChIJ49qvZOCnGToR8x3jKIZq3bo,part_353,2026-09-20 20:28:28,24819
MEN'S COMMON BRAND,Mens Wear Showroom,Garment Exporter,Garment Exporter,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 89175 35460,N/A,4.9,,"near golei ground of golu mobile infront of modak hotel, Rairangpur, Odisha 757043",767062,22.259665899999998,86.1719574,ChIJX90cpL8NHjoRjzzQodVr5YE,https://www.google.com/maps/place/?q=place_id:ChIJX90cpL8NHjoRjzzQodVr5YE,part_353,2026-09-20 20:28:28,24820
Brand Hub,Mens Wear Showroom,Clothing store,Clothing store,767062,Odisha circle,Sambalpur Region,Balangir Division,"Chadeipank B.O, Dharamsala B.O, Harinapali B.O",+91 98619 59585,N/A,4.1,,"8RP8+C66, Phase-VII, Rangeswar Nagar, Sailashree Vihar, 7, Bhubaneswar, Odisha 751021","Phase-VII, Rangeswar Nagar, Sailashree Vihar, 7",20.336025799999998,85.81553029999999,ChIJK0aBtQUJGToRxmNbV2bcIzM,https://www.google.com/maps/place/?q=place_id:ChIJK0aBtQUJGToRxmNbV2bcIzM,part_353,2026-09-20 20:28:28,24821
